sample_id,inference_ms,db_write_ms
684,26.62,1.36
685,26.75,2.96
686,28.4,2.02
687,26.94,1.92
688,28.12,2.96
689,25.68,2.66
690,26.14,1.93
691,27.59,3.54
692,26.35,1.44
693,26.02,2.85
694,26.79,2.82
695,27.15,1.97
696,27.85,2.54
697,27.82,1.35
698,25.76,3.22
699,26.06,2.07
700,25.78,1.81
701,25.86,3.39
702,26.28,1.68
703,26.16,1.27
704,25.89,1.19
705,25.49,2.84
706,25.7,1.33
707,25.55,4.49
708,27.35,0.97
709,25.6,4.39
710,25.44,2.42
711,25.76,2.14
712,26.41,1.79
713,26.93,2.61
714,27.21,2.19
715,26.6,3.46
716,25.75,2.33
717,26.29,2.36
718,25.37,1.92
719,27.38,2.18
720,26.48,2.52
721,25.66,1.12
722,27.46,1.3
723,26.81,3.0
724,27.35,2.38
725,27.02,2.07
726,26.76,2.24
727,26.63,2.56
728,26.61,1.79
729,25.82,1.63
730,26.41,2.41
731,26.44,1.5
732,25.64,2.62
733,17.96,1.13
734,26.45,3.36
735,27.72,2.69
736,26.07,2.47
737,27.19,3.3
738,27.09,4.33
739,26.31,3.34
740,25.66,1.07
741,26.17,1.33
742,26.36,1.73
743,27.64,2.25
744,26.0,2.74
745,26.12,1.66
746,27.06,2.4
747,28.81,1.65
748,29.67,1.74
749,25.6,1.27
750,27.12,1.54
751,26.86,1.3
752,26.48,1.51
753,25.88,3.39
754,26.66,1.52
755,26.25,6.38
756,26.62,2.71
757,26.0,2.4
758,27.83,1.58
759,27.03,2.95
760,26.44,1.77
761,25.9,2.34
762,26.83,6.2
763,26.68,2.14
764,25.6,3.52
765,25.7,1.68
766,27.54,2.19
767,26.26,4.52
768,27.2,1.73
769,26.76,4.6
770,26.3,2.95
771,27.55,1.78
772,25.6,2.87
773,27.09,3.28
774,26.41,2.85
775,26.67,1.19
776,25.72,1.66
777,25.99,2.02
778,28.82,2.16
779,25.35,2.85
780,26.65,2.39
781,25.82,1.3
782,27.52,2.59
783,25.66,2.84
784,25.8,2.78
785,26.93,3.43
786,27.74,3.11
787,26.96,2.67
788,25.77,2.16
789,28.84,1.15
790,26.7,2.64
791,27.41,2.42
792,25.66,2.48
793,26.45,1.34
794,27.86,1.44
795,26.62,3.39
796,25.56,2.19
797,26.0,2.92
798,27.76,2.25
799,27.44,2.25
800,26.36,3.24
801,27.34,1.81
802,27.77,2.31
803,25.8,1.85
804,57.41,1.87
805,27.45,1.97
806,27.09,2.43
807,27.51,1.84
808,25.93,3.68
809,27.66,1.56
810,27.83,2.07
811,27.25,1.87
812,27.51,3.97
813,26.31,2.41
814,26.51,3.36
815,26.67,1.23
816,26.44,2.48
817,26.55,3.18
818,26.93,2.3
819,27.21,3.41
820,26.17,1.81
821,27.5,3.91
822,27.12,5.58
823,26.62,1.92
824,26.26,1.86
825,25.95,3.98
826,27.01,4.19
827,27.61,1.81
828,17.66,1.88
829,25.73,1.99
830,26.49,1.3
831,25.92,1.54
832,26.92,1.49
833,26.64,1.64
834,26.07,2.19
835,26.23,2.44
836,26.28,4.14
837,26.94,1.49
838,26.89,3.3
839,27.23,2.04
840,26.5,2.18
841,27.44,2.92
842,26.58,1.42
843,27.26,2.59
844,25.78,2.38
845,26.04,2.71
846,27.1,2.5
847,27.11,5.94
848,25.75,1.72
849,27.15,1.8
850,27.26,1.73
851,26.49,1.78
852,26.64,1.72
853,27.0,3.58
854,27.18,3.93
855,26.61,1.77
856,25.93,1.6
857,27.19,2.69
858,27.33,1.78
859,26.54,2.87
860,26.0,2.41
861,26.4,1.21
862,25.49,4.13
863,26.72,4.56
864,26.72,1.74
865,27.89,1.91
866,25.78,2.5
867,26.06,2.54
868,26.04,2.9
869,26.7,4.97
870,27.28,2.07
871,25.76,1.62
872,26.18,1.28
873,26.47,1.66
874,26.92,2.2
875,26.85,4.56
876,25.9,1.81
877,25.79,2.43
878,25.76,2.21
879,27.0,3.58
880,27.94,6.12
881,25.88,1.8
882,27.62,1.83
883,25.94,3.38
884,30.37,2.92
885,27.58,4.66
886,27.29,2.81
887,25.76,1.93
888,25.94,2.82
889,27.92,3.47
890,26.96,3.09
891,26.13,2.73
892,26.84,3.41
893,25.75,3.55
894,26.31,3.87
895,28.16,2.88
896,25.67,2.08
897,26.81,2.36
898,27.83,3.61
899,27.09,1.61
900,27.09,2.58
901,25.99,1.9
902,26.33,2.25
903,25.98,3.71
904,27.22,2.4
905,25.73,2.27
906,26.81,1.29
907,26.87,3.0
908,26.9,2.88
909,26.82,5.29
910,26.53,1.97
911,26.79,2.43
912,27.29,2.46
913,26.18,4.18
914,26.07,2.14
915,26.12,2.49
916,25.48,2.84
917,30.22,2.4
918,26.48,1.86
919,25.54,2.41
920,26.6,3.42
921,27.42,1.48
922,25.55,2.35
923,25.68,1.68
924,25.89,3.59
925,25.58,1.21
926,26.06,1.78
927,27.13,2.59
928,26.3,4.16
929,25.57,2.17
930,26.9,1.78
931,26.41,4.72
932,26.36,1.25
933,26.19,0.92
934,28.28,2.65
935,25.92,1.82
936,25.51,1.48
937,27.2,2.95
938,26.24,2.45
939,26.6,1.78
940,26.94,1.33
941,26.09,3.15
942,26.61,2.89
943,26.27,2.14
944,25.21,4.66
945,27.36,1.45
946,26.93,1.21
947,26.13,1.69
948,26.78,2.19
949,26.88,2.45
950,25.67,2.02
951,26.06,2.56
952,25.55,1.35
953,27.4,3.96
954,26.59,2.15
955,27.15,3.48
956,26.06,2.55
957,27.16,2.67
958,26.84,2.8
959,26.49,2.66
960,46.42,2.88
961,26.14,3.79
962,27.55,2.41
963,25.7,2.96
964,26.42,2.15
965,26.62,3.96
966,26.58,1.7
967,27.04,4.57
968,25.64,2.19
969,26.17,1.26
970,26.09,2.34
971,25.39,1.69
972,28.35,3.12
973,27.74,1.71
974,26.61,1.86
975,25.57,1.05
976,26.78,1.86
977,26.12,0.84
978,27.47,1.18
979,26.66,3.02
980,27.55,3.05
981,25.51,2.64
982,27.79,1.51
983,27.8,2.18
984,28.16,2.22
985,28.99,1.4
986,28.58,4.06
987,26.74,3.16
988,27.39,2.04
989,26.35,2.25
990,25.76,2.42
991,27.76,0.98
992,27.16,2.02
993,25.77,1.69
994,26.79,1.49
995,26.93,1.99
996,26.51,4.57
997,27.04,2.88
998,26.34,1.77
999,26.25,2.8
