sample_id,inference_ms,db_write_ms
629,1.02,0.34
630,1.07,0.3
631,1.03,0.3
632,1.07,0.3
633,1.03,0.3
634,1.04,0.3
635,1.08,0.3
636,1.05,0.3
637,1.12,0.3
638,0.98,0.28
639,1.03,0.28
640,0.98,0.28
641,1.02,0.28
642,0.98,0.28
643,0.9,0.3
644,0.93,0.29
645,0.9,0.28
646,0.98,0.26
647,0.96,1.65
648,0.96,0.3
649,1.03,0.28
650,0.98,0.29
651,0.98,0.29
652,1.0,0.28
653,0.98,0.28
654,0.98,0.28
655,0.99,0.29
656,0.99,0.28
657,0.99,0.28
658,0.99,0.28
659,1.06,0.29
660,1.23,0.3
661,1.27,2.46
662,1.23,0.33
663,1.27,0.3
664,1.23,0.31
665,1.22,2.63
666,1.23,0.33
667,1.23,0.3
668,1.27,0.29
669,1.27,0.35
670,1.29,0.29
671,1.23,0.3
672,1.3,0.31
673,1.23,0.29
674,1.27,0.29
675,1.24,0.29
676,1.29,0.31
677,1.3,0.29
678,1.27,0.29
679,1.29,0.39
680,1.27,1.98
681,1.27,0.3
682,1.26,0.45
683,1.3,0.3
684,1.24,2.23
685,1.24,0.29
686,1.29,0.3
687,1.3,0.33
688,1.3,0.3
689,1.13,0.31
690,1.1,0.3
691,1.04,0.3
692,1.09,0.31
693,1.05,0.3
694,1.13,0.3
695,1.03,0.29
696,1.05,0.31
697,1.07,0.3
698,1.11,0.3
699,1.12,0.31
700,1.0,0.3
701,0.97,0.28
702,1.06,0.29
703,0.88,0.22
704,0.79,0.22
705,0.79,0.22
706,0.8,0.22
707,0.8,0.22
708,0.81,0.21
709,0.8,0.22
710,0.82,0.22
711,0.82,0.23
712,0.79,0.22
713,0.8,0.22
714,0.84,0.22
715,0.78,0.22
716,0.79,0.22
717,0.77,0.22
718,0.78,0.25
719,0.77,0.21
720,0.75,0.21
721,0.84,0.26
722,0.78,0.23
723,0.69,0.26
724,0.79,0.22
725,0.79,0.22
