sample_index,elapsed_hours,ram_mb,cpu_percent,ram_linear_trend_mb
389,97.25,6772.83,100.0,6741.33
390,97.5,6772.82,25.0,6741.33
391,97.75,6772.82,33.3,6741.33
392,98.0,6772.81,0.0,6741.33
393,98.25,6772.81,20.0,6741.33
394,98.5,6772.8,33.3,6741.33
395,98.75,6772.8,25.0,6741.33
396,99.0,6772.8,0.0,6741.33
397,99.25,6772.79,40.0,6741.33
398,99.5,6772.79,0.0,6741.33
399,99.75,6772.78,0.0,6741.33
400,100.0,6772.78,0.0,6741.33
401,100.25,6772.77,20.0,6741.33
402,100.5,6772.77,33.3,6741.33
403,100.75,6772.76,20.0,6741.33
404,101.0,6773.0,0.0,6741.33
405,101.25,6773.0,0.0,6741.34
406,101.5,6772.99,25.0,6741.34
407,101.75,6772.99,0.0,6741.34
408,102.0,6772.98,8.1,6741.34
409,102.25,6772.98,0.0,6741.34
410,102.5,6772.98,0.0,6741.34
411,102.75,6772.97,0.0,6741.34
412,103.0,6772.96,50.0,6741.34
413,103.25,6772.96,0.0,6741.34
414,103.5,6773.2,20.0,6741.34
415,103.75,6773.2,0.0,6741.34
416,104.0,6773.19,33.3,6741.34
417,104.25,6773.18,0.0,6741.34
418,104.5,6773.18,25.0,6741.34
419,104.75,6773.18,0.0,6741.34
420,105.0,6773.17,20.0,6741.34
421,105.25,6773.16,0.0,6741.34
422,105.5,6773.16,20.0,6741.35
423,105.75,6773.16,33.3,6741.35
424,106.0,6773.15,0.0,6741.35
425,106.25,6773.15,0.0,6741.35
426,106.5,6773.14,25.0,6741.35
427,106.75,6773.14,40.0,6741.35
428,107.0,6773.13,25.0,6741.35
429,107.25,6773.13,0.0,6741.35
430,107.5,6773.12,25.0,6741.35
431,107.75,6773.12,0.0,6741.35
432,108.0,6773.12,25.0,6741.35
433,108.25,6773.11,0.0,6741.35
434,108.5,6773.11,25.0,6741.35
435,108.75,6773.1,33.3,6741.35
436,109.0,6773.1,20.0,6741.35
437,109.25,6773.09,0.0,6741.35
438,109.5,6773.09,33.3,6741.36
439,109.75,6773.09,0.0,6741.36
440,110.0,6773.08,0.0,6741.36
441,110.25,6773.07,0.0,6741.36
442,110.5,6761.63,25.0,6741.36
